City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,sur,22.5667,59.5289,84.15,83,58,1.54,OM,1690336853
283,tsuruoka,38.7217,139.8217,86.04,70,40,11.5,JP,1690336853
284,taro,-8.3862,115.28,73.4,76,54,3.85,ID,1690336853
285,bolobo,-2.1667,16.2333,78.94,55,44,4.76,CD,1690336853
286,rongelap,11.1635,166.8941,83.37,73,100,15.23,MH,1690336853
287,kishtwar,33.3167,75.7667,72.77,81,21,0.51,IN,1690336854
288,tvoroyri,61.5556,-6.8111,49.6,89,100,5.12,FO,1690336854
289,yarmouth,41.7057,-70.2286,75.99,86,75,9.22,US,1690336854
290,rikaze,29.25,88.8833,54.41,68,100,8.1,CN,1690336612
291,alenquer,-1.9417,-54.7383,76.66,58,24,2.08,BR,1690336854
292,goondiwindi,-28.55,150.3167,66.38,44,0,7.85,AU,1690336855
293,bamboo flat,11.7,92.7167,82.49,89,75,4.61,IN,1690336855
294,bechar,31.6167,-2.2167,97.12,11,0,6.91,DZ,1690336758
295,callao,-12.0667,-77.15,68.29,83,100,11.5,PE,1690336823
296,juan de ayolas,-27.4,-56.9,64.04,81,100,4.43,PY,1690336855
297,bestobe,52.4994,73.0975,73.81,38,100,8.46,KZ,1690336856
298,nelson bay,-32.7167,152.15,68.0,75,0,5.01,AU,1690336856
299,st. john's,47.5649,-52.7093,65.28,90,20,8.05,CA,1690336807
300,kununurra,-15.7667,128.7333,73.38,33,49,10.36,AU,1690336856
301,knyaze-volkonskoye,48.4642,135.4567,80.94,53,7,15.9,RU,1690336857
302,eirunepe,-6.6603,-69.8736,75.69,60,19,0.89,BR,1690336793
303,karratha,-20.7377,116.8463,69.51,76,82,19.04,AU,1690336857
304,cole harbour,44.6724,-63.4751,69.28,85,0,17.27,CA,1690336857
305,dumangas,10.825,122.713,84.2,79,91,15.7,PH,1690336857
306,nyurba,63.2842,118.3319,72.12,43,66,8.32,RU,1690336857
307,ventspils,57.3894,21.5606,49.93,100,28,0.0,LV,1690336858
308,sosnovo-ozerskoye,52.5249,111.5418,69.58,60,17,3.22,RU,1690336858
309,qazigund,33.6333,75.15,66.92,83,21,1.45,IN,1690336858
310,shimoda,34.6667,138.95,92.1,62,56,5.23,JP,1690336858
311,uchiza,-8.4592,-76.4633,76.1,67,100,1.34,PE,1690336858
312,farah,32.5,62.5,88.43,23,0,3.4,AF,1690336754
313,sao joao da barra,-21.6403,-41.0511,71.64,90,63,16.75,BR,1690336721
314,tsiombe,-25.3,45.4833,59.16,69,0,6.29,MG,1690336859
315,aykhal,66.0,111.5,62.02,65,100,12.39,RU,1690336859
316,rome,34.257,-85.1647,80.64,77,0,0.0,US,1690336859
317,hithadhoo,-0.6,73.0833,82.76,79,100,15.32,MV,1690336859
318,great falls,47.5002,-111.3008,86.45,25,0,21.85,US,1690336563
319,coronel dorrego,-38.7187,-61.2873,46.71,75,98,13.47,AR,1690336860
320,haiku-pauwela,20.9219,-156.3051,83.17,70,27,14.0,US,1690336860
321,lihue,21.9789,-159.3672,83.44,72,17,10.76,US,1690336860
322,mokhotlong,-29.2894,29.0675,36.21,14,100,0.74,LS,1690336860
323,civitavecchia,42.0933,11.7967,76.82,73,6,7.85,IT,1690336860
324,talaja,21.35,72.05,80.35,88,100,6.15,IN,1690336861
325,umea,63.8284,20.2597,51.91,93,20,3.44,SE,1690336861
326,shulan,44.4167,126.95,79.84,79,100,9.62,CN,1690336861
327,safford,32.834,-109.7076,106.72,14,0,4.61,US,1690336861
328,darwin,-12.4611,130.8418,74.89,31,0,15.01,AU,1690336827
329,goundam,16.4145,-3.6708,88.48,47,50,7.52,ML,1690336862
330,kajiado,-1.8524,36.7768,53.6,92,77,5.23,KE,1690336862
331,qarauyl,48.9451,79.255,72.88,39,36,10.04,KZ,1690336862
332,meybod,32.2501,54.0166,95.02,11,99,5.44,IR,1690336862
